season,name,team,position,usg_1st_down,usg_2nd_down,usg_3rd_down,usg_standard_downs,usg_passing_downs,usg_overall
2022,Jack Plummer,California,QB,0.2627,0.285,0.419,0.277,0.388,0.3086
2022,Miles Kendrick,New Mexico,QB,0.2692,0.326,0.369,0.223,0.399,0.3065
2022,Ryan Hilinski,Northwestern,QB,0.2472,0.332,0.323,0.272,0.388,0.3007
2022,Quinshon Judkins,Ole Miss,RB,0.282,0.342,0.262,0.43,0.195,0.2936
2022,JT Shrout,Colorado,QB,0.295,0.266,0.34,0.212,0.342,0.2927
2022,Emory Jones,Arizona State,QB,0.2392,0.284,0.413,0.199,0.425,0.2918
2022,Titus Swen,Wyoming,RB,0.3397,0.275,0.201,0.304,0.197,0.2895
2022,Calvin Tyler Jr.,Utah State,RB,0.3463,0.287,0.197,0.321,0.188,0.2886
2022,DeWayne McBride,UAB,RB,0.3546,0.265,0.164,0.389,0.124,0.2884
2022,Blake Corum,Michigan,RB,0.3054,0.263,0.277,0.379,0.16,0.2881
2022,Emmett Morehead,Boston College,QB,0.2467,0.282,0.342,0.348,0.307,0.2873
2022,Braelon Allen,Wisconsin,RB,0.3891,0.235,0.161,0.313,0.112,0.2868
2022,Donovan Smith,Texas Tech,QB,0.2599,0.272,0.326,0.264,0.326,0.2856
2022,Tai Lavatai,Navy,QB,0.2398,0.251,0.362,0.23,0.395,0.2843
2022,Keaton Mitchell,East Carolina,RB,0.3506,0.322,0.092,0.324,0.17,0.2822
2022,Sieh Bangura,Ohio,RB,0.3212,0.285,0.201,0.351,0.179,0.282
2022,Haynes King,Texas A&M,QB,0.2672,0.261,0.342,0.193,0.353,0.2814
2022,Chandler Rogers,Louisiana Monroe,QB,0.2461,0.257,0.381,0.289,0.317,0.2812
2022,Raheim Sanders,Arkansas,RB,0.3103,0.337,0.149,0.315,0.211,0.2801
2022,Kimani Vidal,Troy,RB,0.3495,0.236,0.221,0.241,0.213,0.2792
2022,Jadyn Ott,California,RB,0.3254,0.285,0.186,0.324,0.192,0.2778
2022,Parker McNeil,Louisiana Tech,QB,0.2626,0.277,0.305,0.206,0.348,0.2773
2022,Zach Wilcke,Southern Mississippi,QB,0.2492,0.273,0.348,0.234,0.335,0.2765
2022,Zach Charbonnet,UCLA,RB,0.2743,0.32,0.196,0.347,0.195,0.2749
2022,Toa Taua,Nevada,RB,0.3671,0.258,0.149,0.235,0.202,0.2747
